sample_id	file	total_mass	internal_scale	external_scale
q1_0	/data/strickt2/3369/clean_bams/3369-KRG-54/refseq_only/abundances.cxb	1.61492e+06	1.12728	1
q2_0	/data/strickt2/3369/clean_bams/3369-KRG-55/refseq_only/abundances.cxb	573072	0.506725	1
q3_0	/data/strickt2/3369/clean_bams/3369-KRG-56/refseq_only/abundances.cxb	1.56962e+06	0.983172	1
q4_0	/data/strickt2/3369/clean_bams/3369-KRG-57/refseq_only/abundances.cxb	1.50907e+06	1.0093	1
q5_0	/data/strickt2/3369/clean_bams/3369-KRG-58/refseq_only/abundances.cxb	1.38647e+06	0.926253	1
q6_0	/data/strickt2/3369/clean_bams/3369-KRG-59/refseq_only/abundances.cxb	1.39938e+06	0.774533	1
q7_0	/data/strickt2/3369/clean_bams/3369-KRG-60/refseq_only/abundances.cxb	1.67486e+06	1.23166	1
q8_0	/data/strickt2/3369/clean_bams/3369-KRG-61/refseq_only/abundances.cxb	1.61506e+06	1.13324	1
q9_0	/data/strickt2/3369/clean_bams/3369-KRG-62/refseq_only/abundances.cxb	1.33799e+06	0.741442	1
q10_0	/data/strickt2/3369/clean_bams/3369-KRG-63/refseq_only/abundances.cxb	1.85476e+06	1.19297	1
q11_0	/data/strickt2/3369/clean_bams/3369-KRG-64/refseq_only/abundances.cxb	1.50041e+06	0.943517	1
q12_0	/data/strickt2/3369/clean_bams/3369-KRG-65/refseq_only/abundances.cxb	1.84474e+06	1.14179	1
q13_0	/data/strickt2/3369/clean_bams/3369-KRG-75/refseq_only/abundances.cxb	1.68502e+06	1.5642	1
q14_0	/data/strickt2/3369/clean_bams/3369-KRG-67/refseq_only/abundances.cxb	1.8237e+06	1.1384	1
q15_0	/data/strickt2/3369/clean_bams/3369-KRG-68/refseq_only/abundances.cxb	1.55619e+06	1.1732	1
q16_0	/data/strickt2/3369/clean_bams/3369-KRG-69/refseq_only/abundances.cxb	1.47848e+06	1.18652	1
q17_0	/data/strickt2/3369/clean_bams/3369-KRG-70/refseq_only/abundances.cxb	2.2924e+06	2.45446	1
q18_0	/data/strickt2/3369/clean_bams/3369-KRG-71/refseq_only/abundances.cxb	1.52072e+06	0.746366	1
q19_0	/data/strickt2/3369/clean_bams/3369-KRG-72/refseq_only/abundances.cxb	2.03529e+06	0.851365	1
q20_0	/data/strickt2/3369/clean_bams/3369-KRG-73/refseq_only/abundances.cxb	2.25654e+06	0.850556	1
q21_0	/data/strickt2/3369/clean_bams/3369-KRG-74/refseq_only/abundances.cxb	1.82245e+06	0.640139	1
