GENE	3369-KRG-1	3369-KRG-2	3369-KRG-3	3369-KRG-76	3369-KRG-77	3369-KRG-78	3369-KRG-10	3369-KRG-11	3369-KRG-12	3369-KRG-85	3369-KRG-86	3369-KRG-87	3369-KRG-19	3369-KRG-24	3369-KRG-25	3369-KRG-94	3369-KRG-95	3369-KRG-96	3369-KRG-45	3369-KRG-46	3369-KRG-47	3369-KRG-88	3369-KRG-89	3369-KRG-90	3369-KRG-48	3369-KRG-49	3369-KRG-50	3369-KRG-91	3369-KRG-92	3369-KRG-93	3369-KRG-4	3369-KRG-5	3369-KRG-6	3369-KRG-79	3369-KRG-80	3369-KRG-81	3369-KRG-51	3369-KRG-52	3369-KRG-53	3369-KRG-82	3369-KRG-83	3369-KRG-84	
gene:UTI89_C2790	248	396	1047	124	203	300	458	571	1020	146	173	194	3010	3723	5697	324	298	195	994	3015	2372	232	203	187	2221	1879	721	273	190	273	591	413	895	204	131	174	1831	1455	1173	227	187	130	
gene:UTI89_C0959	141	147	163	32	44	91	233	138	174	28	40	56	625	662	1502	75	61	54	73	259	211	50	80	36	278	152	71	47	53	67	87	120	128	33	46	33	69	108	120	34	63	29	
gene:UTI89_C2469	75	50	77	26	61	66	141	88	36	36	37	35	59	389	810	81	51	36	129	78	60	57	66	42	40	55	95	87	47	84	70	44	56	48	42	55	83	156	249	54	51	51	
gene:UTI89_C1914	26	0	12	9	23	50	6	8	2	21	17	25	20	303	515	56	31	30	24	15	21	27	30	38	6	16	28	45	43	51	23	14	6	22	14	53	31	17	0	38	7	22	
gene:UTI89_C2628	13	10	95	34	78	81	29	53	36	46	53	68	61	301	617	132	78	60	59	138	147	73	75	62	162	126	65	111	103	108	38	59	65	51	56	47	48	37	112	57	65	36	
gene:UTI89_C1367	459	147	393	235	374	425	317	479	398	326	309	294	954	819	1385	497	406	366	812	671	643	416	433	160	639	561	725	434	459	376	554	410	735	365	248	401	457	479	688	317	318	347	
gene:UTI89_C2102	315	639	381	236	283	328	796	627	789	295	249	207	461	634	880	697	477	251	442	607	492	404	389	165	505	425	377	539	517	416	541	431	763	437	302	269	419	376	500	543	506	261	
gene:UTI89_C4878	1972	1566	4296	887	2405	2438	3165	3357	2289	1281	1544	1403	1948	2442	4913	3627	2385	1406	3044	3636	3756	1964	2262	1703	3249	2512	3109	2657	2242	2311	3805	1868	4032	1381	1535	1447	2404	3446	7068	1693	1620	1600	
gene:UTI89_C0094	3005	2124	8218	1235	1850	3400	3737	5964	3890	1693	1583	2473	6079	4541	4641	2834	2175	2516	6029	6416	5767	2418	2139	2242	7006	4548	5542	2673	1849	2496	5049	3885	4014	1494	1040	2001	4417	4254	6533	1657	1528	1974	
gene:UTI89_C4730	722	713	571	320	423	541	968	587	457	419	345	329	693	1365	2242	908	565	400	1007	1447	1184	664	555	217	1270	991	714	648	538	531	1323	740	845	546	351	374	611	490	492	536	417	327	
gene:UTI89_C0445	360	181	411	157	213	417	367	574	143	221	205	300	334	317	443	365	323	254	516	481	532	286	328	252	414	365	543	298	263	323	374	363	132	222	152	245	485	272	391	224	230	260	
gene:UTI89_C3119	893	412	1840	793	1373	1682	902	1364	839	1260	1033	1218	2458	1950	4180	2308	1634	1346	2567	4607	2281	1709	1792	1650	2693	3637	1762	1847	1444	1506	1006	1116	485	1185	906	1092	1786	2092	1794	1081	1174	1126	
gene:UTI89_C5046	128	206	893	75	175	293	406	320	390	92	129	237	1107	858	1693	250	162	289	550	1860	1466	137	196	196	1763	1032	371	226	169	283	1065	406	826	157	101	288	452	388	983	203	135	225	
gene:UTI89_C4368	715	674	914	68	79	138	1885	818	1691	104	62	86	1458	1249	1861	160	74	63	110	145	98	192	98	47	141	91	82	563	431	496	235	76	121	118	48	95	83	113	72	93	65	73	
gene:UTI89_C2264	40	44	82	26	17	39	59	82	96	38	18	22	199	310	633	57	33	21	102	100	124	61	12	8	97	78	68	36	36	36	120	52	80	26	6	42	100	81	79	33	29	20	
gene:UTI89_C1761	930	1093	3595	366	609	1347	1925	2652	1774	437	516	907	1071	1863	2622	1045	654	948	1654	2340	2337	784	633	984	2168	1610	1629	891	734	1109	1650	1277	2007	504	433	880	1450	2405	3736	477	494	882	
gene:UTI89_C4448	0	0	0	1	0	0	0	1	0	0	0	1	3	19	43	2	2	0	1	4	3	2	0	0	0	1	0	2	0	0	4	4	1	0	1	1	1	1	1	0	0	2	
gene:UTI89_C2077	23	25	41	20	46	43	10	36	47	35	27	27	141	256	483	109	61	64	119	64	51	42	54	39	78	70	82	66	52	55	91	46	34	43	25	84	72	35	25	65	34	49	
gene:EBG00001165949	7447	8318	12526	8889	17165	13926	26604	14759	33866	10290	16623	11903	23825	28824	42726	24200	14385	13278	10179	13250	7538	15186	13323	10379	12441	6155	7188	15880	26740	20821	28453	16310	24031	9490	10608	10431	8303	8355	24127	8897	13029	8423	
gene:UTI89_C4738	154	343	625	114	217	262	421	573	398	119	216	185	494	478	803	264	278	248	633	363	706	213	291	171	355	532	518	182	163	435	499	275	536	187	194	217	498	283	309	157	198	200	
gene:UTI89_C0607	412	405	1619	288	524	841	891	813	1209	313	462	672	1182	1371	2633	953	680	804	826	1928	1690	564	639	665	2095	1329	681	715	639	744	674	687	1066	474	372	570	593	636	1380	483	513	555	
gene:UTI89_C1485	12	3	33	12	20	21	14	12	13	16	19	18	53	68	128	30	22	22	34	45	63	22	22	17	34	57	16	26	16	22	42	15	13	36	12	32	43	25	12	22	18	15	
gene:UTI89_C2161	184	57	302	157	175	198	114	186	74	183	124	144	158	201	303	422	179	206	374	310	458	282	152	129	374	396	260	262	186	257	197	203	78	221	90	188	354	351	237	238	135	172	
gene:UTI89_C4055	267	281	1012	123	174	374	184	489	317	136	155	335	1572	1206	2363	422	253	329	451	1564	1300	185	168	200	1588	890	344	421	226	360	624	635	834	168	125	245	401	217	569	195	109	212	
gene:UTI89_C0701	8	51	140	14	13	24	58	123	809	23	7	39	1123	1877	2059	34	39	52	112	98	110	29	12	23	115	70	126	37	54	52	35	54	130	14	23	20	109	145	643	17	16	21	
gene:UTI89_C0644	901	584	1524	566	715	1056	678	1686	873	882	800	975	1125	1008	1214	1202	1013	760	1712	1583	2066	1118	959	606	1815	1760	1505	1000	802	1044	607	441	500	660	524	639	1617	1069	839	650	617	685	
gene:UTI89_C1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene:UTI89_C2796	662	814	2739	378	407	1115	700	1773	802	492	327	712	1005	2150	3083	973	621	803	2434	792	1331	793	564	590	668	905	2099	800	588	841	1626	1437	1190	677	448	688	3156	4293	2643	844	676	1049	
gene:UTI89_C1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene:UTI89_C0258	100	60	139	73	165	193	201	85	79	96	105	140	115	774	1188	314	168	72	81	190	132	173	222	75	180	99	72	135	175	191	226	111	75	146	113	101	76	110	236	155	143	87	
gene:UTI89_C3411	569	1127	1609	160	314	539	1932	1490	1532	187	267	413	2778	2316	2870	480	335	541	1775	3715	3627	318	500	395	3574	2698	1454	355	362	511	1620	943	2976	276	200	431	976	1151	3103	312	178	420	
gene:UTI89_C3439	21	10	29	11	29	29	16	12	15	26	18	29	19	415	909	47	32	19	35	32	45	32	65	25	41	31	22	44	52	28	44	21	39	55	24	18	23	34	30	41	41	43	
gene:UTI89_C2864	55	51	110	20	25	78	126	108	91	20	34	30	63	289	574	65	42	25	72	121	130	28	34	48	121	76	60	65	31	52	83	31	138	15	29	39	36	50	87	32	23	43	
gene:EBG00001165830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
