Strain	Time_point	Sample_number	Batch
WT	0m	3369-KRG-1	1
dpmrA	0m	3369-KRG-10	1
dpmrA	15m	3369-KRG-11	1
dpmrA	60m	3369-KRG-12	1
dpmrB	0m	3369-KRG-19	1
WT	15m	3369-KRG-2	1
dpmrB	15m	3369-KRG-24	1
dpmrB	60m	3369-KRG-25	1
WT	60m	3369-KRG-3	1
dqseC	0m	3369-KRG-4	1
dqseB	60m	3369-KRG-45	1
dqseB	0m	3369-KRG-46	1
dqseB	15m	3369-KRG-47	1
dqseBdpmrA	0m	3369-KRG-48	1
dqseBdpmrA	15m	3369-KRG-49	1
dqseC	15m	3369-KRG-5	1
dqseBdpmrA	60m	3369-KRG-50	1
dqseCdpmrA	0m	3369-KRG-51	1
dqseCdpmrA	15m	3369-KRG-52	1
dqseCdpmrA	60m	3369-KRG-53	1
WT	0m	3369-KRG-54	2
WT	15m	3369-KRG-55	2
WT	60m	3369-KRG-56	2
dqseC	0m	3369-KRG-57	2
dqseC	15m	3369-KRG-58	2
dqseC	60m	3369-KRG-59	2
dqseC	60m	3369-KRG-6	1
dqseCdpmrA	0m	3369-KRG-60	2
dqseCdpmrA	15m	3369-KRG-61	2
dqseCdpmrA	60m	3369-KRG-62	2
dpmrA	0m	3369-KRG-63	2
dpmrA	15m	3369-KRG-64	2
dpmrA	60m	3369-KRG-65	2
dqseB	15m	3369-KRG-67	2
dqseB	60m	3369-KRG-68	2
dqseBdpmrA	0m	3369-KRG-69	2
dqseBdpmrA	15m	3369-KRG-70	2
dqseBdpmrA	60m	3369-KRG-71	2
dpmrB	0m	3369-KRG-72	2
dpmrB	15m	3369-KRG-73	2
dpmrB	60m	3369-KRG-74	2
dqseB	0m	3369-KRG-75	2
