"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4160","gene:UTI89_C4160",1161.00427349531,-1.54007781470175,0.332762214631754,-4.62816313566748,3.68923359177107e-06,0.00171616438991751
"gene:UTI89_C2536","gene:UTI89_C2536",1002.94901439358,-2.0707078786853,0.299340217071015,-6.91757325142197,4.59445834305608e-12,3.91830722356966e-09
"gene:UTI89_C2538","gene:UTI89_C2538",1470.30630493059,-1.95615721351009,0.305266263587217,-6.40803602246469,1.47406086464314e-10,1.07753849205414e-07
"gene:UTI89_C1330","gene:UTI89_C1330",29.4323343457509,-1.16109791466199,0.315477266175822,-3.68044876493536,0.000232823838674961,0.0673860324712445
"gene:UTI89_C2537","gene:UTI89_C2537",3420.13366545959,-1.91316695416325,0.311444264789233,-6.14288709235973,8.10348868146136e-10,4.14655515830378e-07
"gene:UTI89_C1275","gene:UTI89_C1275",11.139638811484,-1.22464743620115,0.303658109509612,-4.0329811648333,5.50736954537262e-05,0.0201294356883369
"gene:UTI89_C2533","gene:UTI89_C2533",450.660986232428,-1.05743225930335,0.257750774230013,-4.10253766438627,4.08643306680391e-05,0.0160848292329505
"gene:UTI89_C2651","gene:UTI89_C2651",87.4178477711426,-0.75960584444869,0.190921607693776,-3.97862690150316,6.93144123137868e-05,0.0236454565206431
"gene:UTI89_C2539","gene:UTI89_C2539",1418.89877384088,-1.90501234790417,0.299634423861552,-6.35778867912853,2.0467877695172e-10,1.30917662707744e-07
"gene:UTI89_C4707","gene:UTI89_C4707",1119.06167824808,-4.552782855122,0.302412829686554,-15.0548601388403,3.20777049380267e-51,1.64141616167882e-47
"gene:UTI89_C2534","gene:UTI89_C2534",850.336011721253,-3.42663590387206,0.282026243029668,-12.1500604591311,5.73231907112613e-34,1.46661383434762e-30
"gene:UTI89_C2541","gene:UTI89_C2541",218.18818435158,-0.971886129253447,0.254486554915966,-3.81900776476924,0.000133989545587826,0.0428515315483065
"gene:UTI89_C1294","gene:UTI89_C1294",7.88523507164298,-1.18274948225863,0.321760676294733,-3.67586709438424,0.000237042912738402,0.0673860324712445
"gene:UTI89_C2535","gene:UTI89_C2535",3508.95728747445,-1.88599681248728,0.303823167798183,-6.20754771979754,5.38177698943104e-10,3.05983920610207e-07
"gene:UTI89_C3643","gene:UTI89_C3643",407.351485903808,1.84799729299459,0.263866219235466,7.00353875668146,2.4957682892376e-12,2.55416926720576e-09
"gene:EBG00001165887","gene:EBG00001165887",80.6646232140921,-1.39666771589818,0.318858341873883,-4.38021382062698,1.18562910574948e-05,0.00505572011176674
"gene:UTI89_C4706","gene:UTI89_C4706",1244.36852442887,-2.87505143936231,0.245978298225223,-11.6882320924501,1.46402394795332e-31,1.87285263541928e-28
"gene:UTI89_C4708","gene:UTI89_C4708",2196.76898070741,-3.22499220133145,0.272382504805948,-11.8399388522733,2.42629796665536e-32,4.13845556512516e-29
