"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C1871","gene:UTI89_C1871",215.347199235629,-1.17011946919441,0.358094919238101,-3.26762376769828,0.00108454434066599,0.0979673592308433
"gene:UTI89_C0003","gene:UTI89_C0003",2241.14794463006,-0.945409202768437,0.252547275137099,-3.74349397456459,0.000181478956341708,0.0282361290970198
"gene:UTI89_C1707","gene:UTI89_C1707",6237.90507555917,-1.91440322251559,0.476646950924021,-4.0163966617312,5.90947587886092e-05,0.0159161883670654
"gene:UTI89_C0516","gene:UTI89_C0516",1277.83275226209,-1.81857640530651,0.44541399790678,-4.08289010640191,4.44790594405603e-05,0.0143756320111891
"gene:UTI89_C3658","gene:UTI89_C3658",2376.88153260913,0.62398636359448,0.162864946121523,3.83131163859464,0.000127461936742517,0.0216819462922008
"gene:UTI89_C0811","gene:UTI89_C0811",413.399729584746,-0.843707167543751,0.201993463265407,-4.1769033210504,2.95504547707793e-05,0.0111373579501032
"gene:UTI89_C4039","gene:UTI89_C4039",1430.89931301212,-1.96175304902342,0.359702601236693,-5.45381946718963,4.92992538453971e-08,0.000159335188428324
"gene:UTI89_C0517","gene:UTI89_C0517",711.356743811624,-1.44774896421354,0.431444093806425,-3.35558878889904,0.000791962297678273,0.0799881920655056
"gene:UTI89_C1783","gene:UTI89_C1783",762.024356753835,-0.800510664255008,0.215728784387042,-3.71072718241809,0.000206664734347966,0.0303609282460284
"gene:UTI89_C0478","gene:UTI89_C0478",2512.69465370232,-1.38329975327011,0.383245167079154,-3.60943821891538,0.000306860844582063,0.0396709699875691
"gene:UTI89_C3903","gene:UTI89_C3903",2925.73374093476,1.54098664065019,0.347052912111048,4.44020662808072,8.98725448674763e-06,0.00414954378588119
"gene:UTI89_C4454","gene:UTI89_C4454",773.090003593967,0.914060439208694,0.227367113614322,4.02019634536592,5.81496569087313e-05,0.0159161883670654
"gene:UTI89_C4727","gene:UTI89_C4727",398.403022442331,-1.30713832891223,0.340256824078612,-3.84162266973442,0.000122223626933772,0.0216819462922008
"gene:UTI89_C4042","gene:UTI89_C4042",1363.05276184134,-1.73626271803533,0.464147100775735,-3.74075958921966,0.000183464947721973,0.0282361290970198
"gene:UTI89_C1562","gene:UTI89_C1562",537.291808719826,-1.06856603438812,0.271169989906925,-3.94057629590532,8.12860915884149e-05,0.0175144432009171
"gene:UTI89_C0002","gene:UTI89_C0002",2637.6966827137,-0.851107420994768,0.245264708545359,-3.47015853215329,0.000520151257826357,0.0560376288431595
"gene:UTI89_C1872","gene:UTI89_C1872",609.373536006808,-1.25881752027749,0.379689926531498,-3.31538298046752,0.000915176484949234,0.0896318302835128
"gene:UTI89_C4041","gene:UTI89_C4041",7605.5840829377,-1.95390417355948,0.437643259172498,-4.46460474966289,8.02166964629633e-06,0.00414954378588119
"gene:UTI89_C4379","gene:UTI89_C4379",1439.44186025953,0.813430318315549,0.226926993182538,3.5845463199754,0.000337664637303899,0.0419743118371616
"gene:UTI89_C3511","gene:UTI89_C3511",861.808378606344,-1.78378678356181,0.379579566268338,-4.69937515630331,2.60958689774263e-06,0.00210854621337605
"gene:UTI89_C3325","gene:UTI89_C3325",1771.93633709081,0.992859504381072,0.272214342213576,3.64734457526153,0.000264964488748185,0.0372332707667015
"gene:UTI89_C1706","gene:UTI89_C1706",5479.29654917157,-1.8749034698963,0.475163556593646,-3.94580654151407,7.95318099236575e-05,0.0175144432009171
"gene:UTI89_C4024","gene:UTI89_C4024",654.701504107349,-1.58255255505474,0.409279997352889,-3.86667456335578,0.00011032949908667,0.0216819462922008
