"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C2790","gene:UTI89_C2790",807.687768870419,0.933458674485436,0.359196779754861,2.59873898402566,0.00935668893981635,0.0767291152036953
"gene:UTI89_C2077","gene:UTI89_C2077",77.6552444387254,1.32240267447827,0.324071724395362,4.08058641013976,4.49222252409353e-05,0.0115845535873182
"gene:UTI89_C0701","gene:UTI89_C0701",248.01875648067,2.01020408164364,0.48716962164287,4.12629193680976,3.68659229502323e-05,0.0105067880408162
"gene:UTI89_C3439","gene:UTI89_C3439",67.0699096843785,1.20347886821648,0.506911302206439,2.37414092559799,0.0175898355444748,0.098618422232957
"gene:UTI89_C3742","gene:UTI89_C3742",118.357667691797,-1.27964086612717,0.438251544734509,-2.91987759427608,0.0035016889601572,0.0583235856026182
"gene:UTI89_C4160","gene:UTI89_C4160",1690.3131315895,-1.86509033428498,0.463403353836489,-4.024766585835,5.7031854760471e-05,0.013298791587328
"gene:UTI89_C0461","gene:UTI89_C0461",1244.17206708458,-1.36591610870356,0.423186035747329,-3.22769655263177,0.0012479127581427,0.0413499498317792
"gene:UTI89_C0975","gene:UTI89_C0975",8126.10006667581,-1.55655093598672,0.422256944818011,-3.68626485624193,0.000227569514545591,0.0220767744281703
"gene:UTI89_C4478","gene:UTI89_C4478",2111.47335635379,-0.791202141881197,0.295219451979267,-2.68004745817617,0.00736117229561435,0.0730180561556134
"gene:UTI89_P141","gene:UTI89_P141",2770.30154413233,-0.789210136403195,0.282225932948725,-2.79637710169809,0.00516790617431222,0.06434795794714
"gene:UTI89_C0374","gene:UTI89_C0374",387.968184817218,-0.695443593618912,0.255706953020319,-2.71968980665007,0.00653431814839784,0.0708690319265981
"gene:UTI89_C2644","gene:UTI89_C2644",364.092535042738,0.972917185292009,0.339698835630225,2.86405805155913,0.0041825135164264,0.0600656600110286
"gene:UTI89_C0923","gene:UTI89_C0923",183.473477391406,1.34775440369938,0.455101449671002,2.96143728980359,0.00306206842934135,0.0573773313949557
"gene:UTI89_C0652","gene:UTI89_C0652",2845.37158195166,-1.06318826411592,0.445492238288935,-2.38654722290888,0.017007422971152,0.0972665327112706
"gene:UTI89_C3371","gene:UTI89_C3371",45468.2075800176,-0.92706344665323,0.367895742791838,-2.51990805769606,0.0117385491607593,0.0849031182943469
"gene:UTI89_C4691","gene:UTI89_C4691",177.575853130096,2.06530130072152,0.542790552074125,3.80496914109786,0.000141821870742977,0.019145952550302
