"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4738","gene:UTI89_C4738",304.892873917469,-0.777990104596499,0.219632764272338,-3.54223153896937,0.000396757050218997,0.0294635235553933
"gene:UTI89_C2328","gene:UTI89_C2328",27.8946597546243,-1.15333109275005,0.333927018879878,-3.45384179039714,0.000552661491077736,0.0363056087215682
"gene:UTI89_C2182","gene:UTI89_C2182",206.654367994966,1.43134269448664,0.44743401372538,3.19900287099127,0.00137903795546536,0.0719006119990873
"gene:UTI89_C2149","gene:UTI89_C2149",36.8129730996725,1.43116949617695,0.412748387797862,3.46741389787777,0.000525492062446464,0.03542922799968
"gene:UTI89_C1865","gene:UTI89_C1865",1471.55290727871,-1.38612443829604,0.439803848040887,-3.15168783645381,0.00162329715813181,0.0800138798547513
"gene:UTI89_C3425","gene:UTI89_C3425",863.561007263137,1.41827917754754,0.437435503393314,3.24225895370983,0.00118586217162792,0.0659115096580451
"gene:UTI89_C5074","gene:UTI89_C5074",459.29951573237,1.53300045121342,0.408311619321595,3.75448647226959,0.00017369722524408,0.0145905669205027
"gene:UTI89_C0596","gene:UTI89_C0596",897.699136539449,2.83674882272928,0.431687387264467,6.57130346268695,4.98766895415145e-11,3.65097367443887e-08
"gene:UTI89_C0017","gene:UTI89_C0017",2532.60434058592,-1.11352560149988,0.320916709659369,-3.46982742868645,0.000520792860516804,0.03542922799968
"gene:UTI89_C2429","gene:UTI89_C2429",2059.58552896979,1.78199655841302,0.445244317222635,4.00228928137441,6.27325310822461e-05,0.00642882978530858
"gene:UTI89_C2330","gene:UTI89_C2330",60.8280061777987,-1.24819518946376,0.322976741874871,-3.86465967245203,0.00011124419848291,0.00982784953493845
"gene:UTI89_C2925","gene:UTI89_C2925",4953.3958987626,-1.05946499734288,0.291633999043403,-3.63285831150711,0.000280298949797194,0.0220961818270895
"gene:UTI89_C1122","gene:UTI89_C1122",713.872611578143,1.39471024782502,0.427798656648288,3.26020249514638,0.00111332697293154,0.0633854156589022
"gene:UTI89_C1335","gene:UTI89_C1335",7.78715813520073,1.51889261065015,0.440889646030264,3.44506300913651,0.000570926288760404,0.0365678287951039
"gene:UTI89_P010","gene:UTI89_P010",5957.72259311024,1.83251168027345,0.433077721344494,4.23136908216937,2.32273173442564e-05,0.00270492668345386
"gene:UTI89_C1229","gene:UTI89_C1229",476.87310709554,1.62169958257727,0.407248185446284,3.98209161030424,6.8311437862316e-05,0.00686329034522563
"gene:UTI89_C0600","gene:UTI89_C0600",724.529624140368,1.21176772782533,0.377198945783386,3.21254272147731,0.00131565579743725,0.0694991784130771
"gene:UTI89_C2148","gene:UTI89_C2148",98.1969336666134,1.44727222342187,0.419734854804998,3.44806300180683,0.00056462231887202,0.0365678287951039
"gene:UTI89_C2181","gene:UTI89_C2181",601.278208046663,1.52115203875637,0.447159621423931,3.40180992620136,0.000669411778401262,0.0423464932410872
"gene:UTI89_P012","gene:UTI89_P012",1729.76384295631,2.46999702696332,0.43407736007257,5.69022311265067,1.2687348659532e-08,3.82411614890836e-06
"gene:UTI89_C0599","gene:UTI89_C0599",255.352779895345,3.01914961798733,0.384011849519149,7.86212618638681,3.77667284270449e-15,6.45055721533927e-12
"gene:UTI89_C2321","gene:UTI89_C2321",40.0030506655396,-1.16497998285083,0.345103105618576,-3.37574470899842,0.000736161930280854,0.0449058777471321
"gene:UTI89_P011","gene:UTI89_P011",3850.23687962865,2.06472369972978,0.430932672294078,4.79129068756421,1.6571183665629e-06,0.000265346078445884
"gene:UTI89_C0584","gene:UTI89_C0584",3795.94089315082,2.28784756304922,0.446861156600876,5.11981748526123,3.05831496185727e-07,6.52950244356527e-05
"gene:UTI89_C0585","gene:UTI89_C0585",217.197327266251,1.74485644134828,0.442985193842237,3.93885950501922,8.18698511598203e-05,0.00791511542156452
"gene:UTI89_C4034","gene:UTI89_C4034",1866.16609281357,2.01358436009511,0.447189872014745,4.50275036646786,6.7079659220656e-06,0.00092896263201795
"gene:UTI89_C0166","gene:UTI89_C0166",5141.2915000231,1.94263923077611,0.441006603899725,4.40501165650984,1.05778189768849e-05,0.00135501861093896
"gene:UTI89_C2138","gene:UTI89_C2138",528.965324017205,1.42388169626181,0.439915955507341,3.23671300946494,0.00120914947460114,0.0659115096580451
"gene:UTI89_C2145","gene:UTI89_C2145",357.594537175069,1.46329700700549,0.432401258342777,3.38411829006634,0.000714072316181418,0.0440832114230553
"gene:UTI89_P017","gene:UTI89_P017",258.264171503802,2.173481219204,0.385479178731581,5.63838811309039,1.7164929204504e-08,4.88628318021548e-06
"gene:UTI89_C1708","gene:UTI89_C1708",515.841697982547,1.38170307163653,0.390685890289971,3.53660857987735,0.00040529986017433,0.029667949764761
"gene:UTI89_C2140","gene:UTI89_C2140",164.589345090534,1.3489514319961,0.438661065499337,3.07515651169214,0.00210392115438654,0.0980044726825148
"gene:UTI89_C4237","gene:UTI89_C4237",781.614306824124,-2.81507521696168,0.339463011318046,-8.29273035089003,1.1067805180273e-16,2.83557168718593e-13
"gene:UTI89_C0586","gene:UTI89_C0586",631.215648591525,1.94189758059549,0.447674359080592,4.33774582172552,1.43951491779086e-05,0.00175620819970485
"gene:UTI89_C4741","gene:UTI89_C4741",14170.5885340929,-1.12099674073047,0.317524710910934,-3.53042362439915,0.000414894782353019,0.0299425473912235
"gene:UTI89_C0590","gene:UTI89_C0590",398.420636728485,1.95155000943658,0.430651507034112,4.53162238506226,5.85324106336894e-06,0.000833111311352846
"gene:UTI89_C3911","gene:UTI89_C3911",134.462809695669,1.67060500704076,0.426695326441895,3.91521749481418,9.03227487925254e-05,0.00841479572387091
"gene:UTI89_C3035","gene:UTI89_C3035",446.647389717114,1.45113315194849,0.438122935290533,3.31215975029064,0.0009257866438946,0.0551596600385573
"gene:UTI89_C2336","gene:UTI89_C2336",49.3263266608158,-1.78845672742822,0.368378788123993,-4.85493949457873,1.20423506851352e-06,0.000212775879002181
"gene:UTI89_C4033","gene:UTI89_C4033",1250.30805932406,1.83525636900896,0.447447856964131,4.1016094734723,4.10286313457585e-05,0.00429042259215646
"gene:UTI89_C0168","gene:UTI89_C0168",476.945387753397,2.30169083948268,0.402343554759208,5.72071010522383,1.060797588972e-08,3.62368456392834e-06
"gene:UTI89_C0591","gene:UTI89_C0591",90.2286433596061,1.65973650188583,0.398397301723898,4.16603349145192,3.09945187706594e-05,0.00337906200384806
"gene:UTI89_C0495","gene:UTI89_C0495",501.23006158955,1.11417393565064,0.344122610065907,3.23772371550145,0.00120487431216124,0.0659115096580451
"gene:UTI89_C0583","gene:UTI89_C0583",749.039967373854,2.14355930607105,0.440765494224651,4.8632647840135,1.15465219385559e-06,0.000211301351475573
