"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C0094","gene:UTI89_C0094",3255.70056567288,-0.485962396693533,0.140563627429329,-3.45724143280137,0.000545735677487389,0.0609159012979167
"gene:UTI89_C4604","gene:UTI89_C4604",142.873973960783,0.996215830803036,0.313034794968619,3.18244440175701,0.00146037551128217,0.0988746042884485
"gene:UTI89_C0964","gene:UTI89_C0964",625.555555533042,0.643689160356866,0.188612487565813,3.41276003866001,0.000643085406200619,0.0647790909172818
"gene:UTI89_C1428","gene:UTI89_C1428",1467.73034638157,-0.697202775992805,0.189173477766617,-3.68552074119472,0.000228235492794761,0.0448863135829696
"gene:UTI89_C2354","gene:UTI89_C2354",988.921545193025,-0.744678263212923,0.222814022517782,-3.34215169583186,0.000831316149048531,0.0746377325124007
"gene:UTI89_C1863","gene:UTI89_C1863",370.329002942214,1.45176450992062,0.447850359473344,3.24162854670441,0.00118848820587208,0.0865759059475308
"gene:UTI89_C3158","gene:UTI89_C3158",180.102946100396,-0.84004707796461,0.246754035076322,-3.40439043967317,0.000663118955047807,0.0649356739165724
"gene:UTI89_C0773","gene:UTI89_C0773",1054.21743521785,-1.45049536442494,0.39177374330253,-3.70238023660727,0.000213586192103033,0.0441055486692764
"gene:UTI89_C2642","gene:UTI89_C2642",904.554685257689,-0.725011980577294,0.214869287373301,-3.37420014484295,0.00074030520839064,0.069487738878485
"gene:UTI89_P077","gene:UTI89_P077",57.8663058882895,1.35196162171497,0.264769798017329,5.10617763747542,3.28740672928804e-07,0.000150855442132885
"gene:EBG00001165756","gene:EBG00001165756",233.798934217357,-1.40441125145439,0.444742939847008,-3.15780448799818,0.00158962130616637,0.0993107467745469
"gene:UTI89_C4606","gene:UTI89_C4606",170.613282670116,0.913453638805969,0.271930606459226,3.35914243232836,0.000781847587628271,0.0717562341534391
"gene:UTI89_C0566","gene:UTI89_C0566",3349.88146220504,-1.75244341459845,0.288534511807125,-6.07360070593531,1.25073500327143e-09,1.0331071127022e-06
"gene:UTI89_C3157","gene:UTI89_C3157",756.18939292515,-0.989860326652133,0.273859145414616,-3.61448702088626,0.000300942890952186,0.0552089596761928
"gene:UTI89_C4779","gene:UTI89_C4779",12534.5846524881,0.701167312279999,0.195636382659702,3.58403331091864,0.000338328908713396,0.0552089596761928
"gene:UTI89_C3649","gene:UTI89_C3649",9436.62953067045,-1.20060086546289,0.365955828422403,-3.2807261757206,0.00103540211722884,0.0822348220029826
"gene:UTI89_C4008","gene:UTI89_C4008",179.891327455527,1.12222354495072,0.351433273380407,3.19327630578672,0.0014066827734039,0.0968266642359687
"gene:UTI89_C2122","gene:UTI89_C2122",945.217972721427,1.70790624115689,0.43007765324004,3.97115783228955,7.15241726209626e-05,0.024616236077048
"gene:UTI89_C3903","gene:UTI89_C3903",3398.41939017049,1.36625691136893,0.365713344189679,3.73586835994782,0.00018706851703712,0.0429218319646282
"gene:UTI89_C4727","gene:UTI89_C4727",576.652345188283,-1.51083399619436,0.286092127862072,-5.28093522700056,1.28526126365436e-07,6.63516127361565e-05
"gene:UTI89_C1566","gene:UTI89_C1566",429.204833543676,-0.877458495368359,0.248599381831206,-3.52960851674255,0.000416174990185528,0.0564233834136321
"gene:UTI89_C1562","gene:UTI89_C1562",601.007856221048,-1.58703142818578,0.204326929085789,-7.76711829070483,8.02918535704481e-15,1.10535118415317e-11
"gene:UTI89_C0232","gene:UTI89_C0232",585.466440233554,0.51049142086983,0.150184393640795,3.39909765918024,0.000676085709058744,0.0649356739165724
"gene:UTI89_C2233","gene:UTI89_C2233",158.842930325276,-0.802797521258541,0.25100115874447,-3.19838173367089,0.00138201206523933,0.0967408445667533
"gene:UTI89_C4699","gene:UTI89_C4699",78.0912155906142,1.31471827551802,0.406386972481742,3.23513883205764,0.00121583596730189,0.0865759059475308
"gene:UTI89_C0774","gene:UTI89_C0774",299.360506599001,-1.28177656625128,0.385245065068907,-3.32717192891754,0.000877322261134301,0.0766726619590303
"gene:UTI89_C3533","gene:UTI89_C3533",1154.88046536553,0.5354221913948,0.154644418519361,3.46227944416737,0.000535620714455305,0.0609159012979167
"gene:UTI89_C1564","gene:UTI89_C1564",536.072134265327,-1.79127115150406,0.203058257411089,-8.82146421594497,1.12972626288356e-18,4.66576946570909e-15
"gene:UTI89_C0357","gene:UTI89_C0357",202.050592136119,0.650138582302381,0.200894615107005,3.23621706811848,0.00121125236638504,0.0865759059475308
"gene:UTI89_C2489","gene:UTI89_C2489",1166.56139336362,0.74418177588108,0.211340127617665,3.52125166323064,0.000429514769595208,0.0564233834136321
"gene:UTI89_C1774","gene:UTI89_C1774",803.225666694227,1.41517947175299,0.447569206476863,3.16192323170058,0.00156730877043546,0.0993107467745469
