"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4160","gene:UTI89_C4160",1437.79961079325,-1.66990897718433,0.416974508602589,-4.00482269954755,6.2064013707139e-05,0.0116734314476993
"gene:UTI89_C0975","gene:UTI89_C0975",7507.85156751773,-1.22535267855872,0.342184099418341,-3.58097492151631,0.000342314513655726,0.0329078352461038
"gene:UTI89_C0652","gene:UTI89_C0652",2435.03732611067,-1.08381157163671,0.331329805231745,-3.27109591266215,0.00107131569692308,0.0538896709870841
"gene:UTI89_C0751","gene:UTI89_C0751",5017.77510533301,-0.74338267036661,0.24040031799541,-3.0922699128077,0.00198632150900342,0.0747202334604242
"gene:UTI89_C2536","gene:UTI89_C2536",1270.38866121578,-1.72673863106503,0.38871675193344,-4.4421513157753,8.90638891068828e-06,0.00296377218674135
"gene:UTI89_C0089","gene:UTI89_C0089",1444.2045492892,-0.839170363550044,0.278698465350779,-3.01103331334758,0.00260360286343043,0.0853271665696974
"gene:UTI89_C2043","gene:UTI89_C2043",581.95240875933,-0.744042901060342,0.246307829177059,-3.02078461552062,0.00252120632781344,0.0853271665696974
"gene:UTI89_C0080","gene:UTI89_C0080",550.842849891621,-1.02553165921448,0.255950828356373,-4.00675264776474,6.15592717769518e-05,0.0116734314476993
"gene:UTI89_C4373","gene:UTI89_C4373",953.617055216816,-0.430005451754676,0.149159935033579,-2.88284821026419,0.00394097293704475,0.0996997013196232
"gene:UTI89_C2443","gene:UTI89_C2443",1975.18605960607,-1.37499785636551,0.427503510450702,-3.21634284339771,0.00129835623010355,0.0597520111854039
"gene:UTI89_C0341","gene:UTI89_C0341",1175.57545328415,0.909973716381502,0.314412990144313,2.89419885598184,0.00380127341001587,0.0984689148007703
"gene:UTI89_C3585","gene:UTI89_C3585",264.315165118554,-1.66239694662131,0.42519784570186,-3.90970218552552,9.24099808044934e-05,0.0142986392394242
"gene:UTI89_C5016","gene:UTI89_C5016",629.644246200962,0.96564210412516,0.330146737561049,2.92488761590927,0.00344580641947281,0.093751940695845
"gene:UTI89_C3090","gene:UTI89_C3090",623.183258045446,-1.54068123830927,0.429653894438358,-3.58586587542339,0.000335961608520891,0.0329078352461038
"gene:UTI89_C4325","gene:UTI89_C4325",280.780571902179,-1.33483855348441,0.353762180831917,-3.77326527766581,0.000161124806310637,0.0217820597531192
"gene:UTI89_C0648","gene:UTI89_C0648",950.844065951996,-1.25429820957045,0.349932972336911,-3.5843956092335,0.000337859658894336,0.0329078352461038
"gene:UTI89_C0750","gene:UTI89_C0750",1259.02713531225,1.2691297287262,0.423547419897804,2.99642889816782,0.00273161932153864,0.0862553663136947
"gene:UTI89_C0525","gene:UTI89_C0525",265.879527428085,-0.898336222654122,0.272990840243709,-3.29071928513113,0.00099931580784237,0.052084821502724
"gene:UTI89_C3419","gene:UTI89_C3419",913.592122313878,-1.43862716432156,0.420220246110176,-3.42350750026541,0.000618185458377084,0.0424648850401795
"gene:UTI89_C2073","gene:UTI89_C2073",880.442508340383,0.537957313809892,0.160606637333317,3.34953351083141,0.000809477631889081,0.047691867500663
"gene:UTI89_C3417","gene:UTI89_C3417",442.317903346353,-1.20677693721633,0.389981533985125,-3.09444635720203,0.0019718058808113,0.0747202334604242
"gene:UTI89_C4363","gene:UTI89_C4363",1458.64594096064,-0.540537520774877,0.138139066331771,-3.91299532513603,9.11583000607919e-05,0.0142986392394242
"gene:UTI89_C2521","gene:UTI89_C2521",104.891508215552,-1.35822273036454,0.39817108116012,-3.4111536337777,0.00064688631058468,0.0424648850401795
"gene:UTI89_C0549","gene:UTI89_C0549",257.965991966056,0.727347022741482,0.213719954289783,3.4032714687711,0.000665840885412885,0.042991457765614
"gene:UTI89_C2181","gene:UTI89_C2181",2128.19749902293,1.67994924871247,0.443616135382169,3.78694351878165,0.000152511750064932,0.0212827687348675
"gene:UTI89_P106","gene:UTI89_P106",86.6932519320241,-1.19437627341679,0.396644427664101,-3.01120144420194,0.00260216157523521,0.0853271665696974
"gene:UTI89_C4081","gene:UTI89_C4081",546.530499150343,-0.940399576243262,0.283383668071119,-3.31846779542446,0.000905127591221822,0.0501037041936219
"gene:UTI89_C3092","gene:UTI89_C3092",828.539901532587,-1.21942707123118,0.420590615935362,-2.8993206815118,0.0037397219021438,0.0982360656376666
"gene:UTI89_C1577","gene:UTI89_C1577",503.222266464007,0.813869317781515,0.274558132399292,2.96428778368108,0.00303384417691109,0.0907134990501499
"gene:UTI89_C2187","gene:UTI89_C2187",626.047319373208,1.57108302845687,0.438098302671267,3.58614269646178,0.00033560536240761,0.0329078352461038
"gene:UTI89_C2268","gene:UTI89_C2268",2473.63622530491,-1.3118554948147,0.436876963729451,-3.00280308582968,0.00267505456736827,0.0861555734081832
"gene:UTI89_C0649","gene:UTI89_C0649",1129.81990266432,-1.23622734661375,0.349998133722375,-3.53209696710652,0.000412278148053681,0.0364891742920837
"gene:UTI89_C1139","gene:UTI89_C1139",851.969130508376,1.30948053119942,0.277903807699925,4.71199204515172,2.45306957918403e-06,0.00124766594254539
"gene:UTI89_C3448","gene:UTI89_C3448",579.640680282274,-1.36527404119475,0.368603374004797,-3.70391086321684,0.00021230088345085,0.0270121653473052
"gene:UTI89_C4652","gene:UTI89_C4652",1430.97056891616,-0.553918816981753,0.188804358007356,-2.93382431861119,0.00334813659442752,0.0933718828684958
"gene:UTI89_C1574","gene:UTI89_C1574",10611.3662372348,0.971666428791977,0.32399523064294,2.99901460544277,0.00270854322318838,0.0861555734081832
"gene:UTI89_C2538","gene:UTI89_C2538",1856.58442202298,-1.69898402495644,0.39902151439783,-4.25787573765392,2.06378604030326e-05,0.00595195894023459
"gene:UTI89_C2479","gene:UTI89_C2479",335.336058283496,-1.13398372505082,0.393255898397256,-2.88357715592431,0.00393186314111611,0.0996997013196232
"gene:UTI89_C2590","gene:UTI89_C2590",556.215767147858,-1.04035617066336,0.342569139488617,-3.03692320976836,0.00239006334773365,0.0853271665696974
"gene:UTI89_C3649","gene:UTI89_C3649",8447.49280708034,-1.01184398234176,0.29636713655419,-3.41415716366633,0.000639796577313749,0.0424648850401795
"gene:UTI89_C4736","gene:UTI89_C4736",4784.03847928881,-1.23117350386743,0.412853057156739,-2.98211066268069,0.00286268502317559,0.0897389522482436
"gene:UTI89_C1528","gene:UTI89_C1528",111.453286370263,1.4092393914318,0.392320445791584,3.59206206698809,0.000328071683924398,0.0329078352461038
"gene:UTI89_C4629","gene:UTI89_C4629",4115.22823026261,-1.01406493158882,0.342794204406813,-2.95823242794787,0.00309408728723493,0.0907134990501499
"gene:UTI89_C3870","gene:UTI89_C3870",239.85038868564,-1.31517708049341,0.442921832106648,-2.96932096175549,0.00298458677361383,0.0907134990501499
"gene:UTI89_C2186","gene:UTI89_C2186",401.246719180277,1.43526378226655,0.441014543927483,3.25445906950079,0.00113608529894429,0.0558489204912841
"gene:UTI89_C4618","gene:UTI89_C4618",2211.22073446676,0.932644657415456,0.31971960066057,2.91707063154254,0.00353335750276578,0.0955331534810299
"gene:UTI89_C3871","gene:UTI89_C3871",576.513349860509,-1.50351434214202,0.436801203582202,-3.44210210459979,0.00057721233496122,0.0424648850401795
"gene:UTI89_C2188","gene:UTI89_C2188",2129.59192590317,1.48927470672384,0.438190388566219,3.39869322920757,0.000677086151356321,0.0430746278054036
"gene:UTI89_C2537","gene:UTI89_C2537",4245.60501634896,-1.81204100796943,0.402459592045109,-4.50241724581963,6.7184918156926e-06,0.00242201629955718
"gene:UTI89_C2533","gene:UTI89_C2533",458.461355164298,-1.86888222347596,0.248191549259991,-7.52999942604098,5.0740545897497e-14,4.39007203105144e-11
"gene:UTI89_C3527","gene:UTI89_C3527",1007.78191568193,-0.920972472222277,0.291387684406627,-3.16064309340224,0.00157421260534497,0.0648575593402127
"gene:UTI89_C0079","gene:UTI89_C0079",1161.28259236699,-1.05020783896204,0.254255741403876,-4.13051769514938,3.61947232466216e-05,0.00869879848693806
"gene:UTI89_C2481","gene:UTI89_C2481",187.86492825408,-1.51240877756044,0.429295407171848,-3.52300246472244,0.000426687392291794,0.036916993181086
"gene:UTI89_C0563","gene:UTI89_C0563",56.3619621363102,0.838773751132745,0.250576654258259,3.34737389488909,0.0008158109558597,0.047691867500663
"gene:UTI89_C1738","gene:UTI89_C1738",438.138159135702,1.05971619799113,0.361666713627719,2.93009048956036,0.00338863309203838,0.0933718828684958
"gene:UTI89_C0892","gene:UTI89_C0892",209.832705613152,0.43787144948645,0.151155542701313,2.89682694832895,0.00376957625886562,0.0982360656376666
"gene:UTI89_C2039","gene:UTI89_C2039",762.654146310396,1.22035591130032,0.415204687984219,2.93916698586674,0.00329095713979305,0.0933718828684958
"gene:UTI89_C3312","gene:UTI89_C3312",172.10256091606,-1.36166889071421,0.441743700252117,-3.08248626961078,0.00205279200264484,0.0765549845124276
"gene:UTI89_C1349","gene:UTI89_C1349",204.702090541772,0.806324071208706,0.271000694565946,2.9753579506509,0.00292646849254122,0.0907134990501499
"gene:UTI89_C4715","gene:UTI89_C4715",957.977125740714,-1.20689189787773,0.417353709972123,-2.89177230018716,0.00383075470047249,0.0986419335371665
"gene:UTI89_C3450","gene:UTI89_C3450",188.183995773955,-2.13171830391654,0.329169161985831,-6.47605714659354,9.41504016007362e-11,6.78824395541308e-08
"gene:UTI89_C1780","gene:UTI89_C1780",895.072995890725,-1.26939348805489,0.395558583383217,-3.20911627602099,0.0013314363583266,0.0602240764337515
"gene:UTI89_C2794","gene:UTI89_C2794",213.543273300003,-1.28388509083976,0.396645072264367,-3.23686131661819,0.00120852127757785,0.0574535704852518
"gene:UTI89_C2183","gene:UTI89_C2183",6305.31392020494,1.58014884280344,0.443203453993869,3.56529000070766,0.00036345408165719,0.0341804860271523
"gene:UTI89_C1947","gene:UTI89_C1947",201.668513130244,-1.14997181472553,0.396779520786355,-2.89826403451081,0.00375234548085247,0.0982360656376666
"gene:UTI89_C0851","gene:UTI89_C0851",210.637249275784,-0.987662282323651,0.340919358744669,-2.8970554384486,0.00376683184508327,0.0982360656376666
"gene:UTI89_C2497","gene:UTI89_C2497",5453.06311050669,-0.863043639898767,0.285051082473305,-3.02768062625965,0.00246438386695704,0.0853271665696974
"gene:UTI89_C4326","gene:UTI89_C4326",1347.41295331767,-1.34971870010826,0.347946226053344,-3.8791014215551,0.000104843038122382,0.0151183660972475
"gene:UTI89_C1166","gene:UTI89_C1166",142.916410147916,0.887631557737894,0.241151974472633,3.68079738795018,0.000232505708063586,0.0287377055166592
