"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C2680","gene:UTI89_C2680",206.134338107344,1.00126588655328,0.29041717675801,3.44768135869452,0.000565420662101956,0.0545522204185676
"gene:UTI89_C2644","gene:UTI89_C2644",206.639455146162,0.743347431836934,0.196047979013777,3.79166077394093,0.000149643224863517,0.0192502579266734
"gene:UTI89_C4692","gene:UTI89_C4692",23.4726225929209,1.19757511419203,0.322684530504788,3.71128765397774,0.000206207610404716,0.02523277027806
"gene:UTI89_C2689","gene:UTI89_C2689",97.3647362078168,0.901561306113908,0.221104854141244,4.07752832752366,4.55169858063714e-05,0.00850969748534577
"gene:UTI89_C2660","gene:UTI89_C2660",64.9660860635528,1.24122803807519,0.273411143766533,4.53978583672905,5.63113950667211e-06,0.00128751904266158
"gene:UTI89_C3569","gene:UTI89_C3569",23.3626586101867,1.32401860374898,0.337719418391979,3.92046927610256,8.83767033552855e-05,0.0134359369919233
"gene:UTI89_C5097","gene:UTI89_C5097",53.8527279245175,0.908658017989894,0.259392413599983,3.5030246466312,0.000460006897208397,0.047099073536623
"gene:UTI89_C2400","gene:UTI89_C2400",102.800008828742,1.14808024144825,0.31906869190773,3.59822279830659,0.000320399097892054,0.0357209394249875
"gene:UTI89_C2044","gene:UTI89_C2044",138.297383480103,0.924610562284174,0.234435260631424,3.94399101821903,8.01366606876807e-05,0.0129692137635514
"gene:UTI89_C1641","gene:UTI89_C1641",286.668114433595,2.80477699903038,0.263075007058844,10.6615106862014,1.54074166963851e-26,8.58877884064048e-24
"gene:UTI89_C2686","gene:UTI89_C2686",215.278567951994,1.05330896883758,0.288317055568958,3.65330093552393,0.000258890511404288,0.0309250879932217
"gene:UTI89_C3449","gene:UTI89_C3449",78011.5121008902,4.2270007565793,0.306791470895317,13.7780908453665,3.45283000871324e-43,5.77428271790477e-40
"gene:UTI89_C0844","gene:UTI89_C0844",3310.0255427799,2.73440270403235,0.265446944703645,10.3011270560493,6.964054128533e-25,3.49386595628501e-22
"gene:UTI89_C2270","gene:UTI89_C2270",667.915049425934,-1.18064502408059,0.26194888132527,-4.50715810698402,6.57016766772452e-06,0.00137343879954058
"gene:UTI89_C3247","gene:UTI89_C3247",190.236204666512,1.11923408920582,0.226384707094087,4.9439474228295,7.6556358565632e-07,0.000202149079433566
