"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C2328","gene:UTI89_C2328",16.6236160658169,-1.26298357674501,0.402876995692654,-3.13491112733703,0.00171906182661168,0.0609948879909608
"gene:UTI89_C0820","gene:UTI89_C0820",966.130930863806,1.39878377402026,0.374708275711168,3.73299407750063,0.000189217045514174,0.0107580402432892
"gene:UTI89_C2182","gene:UTI89_C2182",218.023061435673,1.88013582472505,0.511741000653489,3.67399880471592,0.000238783848999648,0.0129984782482043
"gene:UTI89_C3790","gene:UTI89_C3790",501.253967341778,1.48051124012205,0.381787671228345,3.87783931146526,0.000105388285142625,0.00700210628944286
"gene:UTI89_C2149","gene:UTI89_C2149",37.2387632575415,1.45705382226089,0.445889298744828,3.26774790595441,0.00108406878949956,0.0433794888444012
"gene:UTI89_C1865","gene:UTI89_C1865",1340.63082693734,-1.56441319898001,0.515118539881838,-3.03699649276625,0.00238948235979983,0.0788837499038435
"gene:UTI89_C2106","gene:UTI89_C2106",17245.9383829447,-1.33254679919039,0.446785094564851,-2.9825229520878,0.00285883211790042,0.0903002712796076
"gene:UTI89_C4031","gene:UTI89_C4031",5.84723513582154,2.28591975301338,0.511332187244516,4.47051801165075,7.8030371752875e-06,0.000928561423859213
"gene:UTI89_C3425","gene:UTI89_C3425",916.338088035617,1.76919172035474,0.495499443154713,3.57052211621221,0.000356270370130319,0.0184144998379479
"gene:UTI89_C5074","gene:UTI89_C5074",492.678461480889,1.9652361799015,0.483324210536165,4.06608263575585,4.78099890528363e-05,0.00401055268825186
"gene:UTI89_C0596","gene:UTI89_C0596",755.121648699901,2.75078502550415,0.471988050973254,5.82808191824337,5.60680564394291e-09,3.18778049778399e-06
"gene:UTI89_C0017","gene:UTI89_C0017",1927.00353739317,-1.26310260150995,0.313114092153005,-4.03400112982691,5.48350538749024e-05,0.00452566081738509
"gene:UTI89_C2429","gene:UTI89_C2429",1922.8471323935,2.02229354108944,0.503045697183343,4.02009907333008,5.81736719817644e-05,0.00465116686766701
"gene:UTI89_C3034","gene:UTI89_C3034",32.5040084911261,1.67492500373646,0.510976820615908,3.27788842107864,0.00104586728241988,0.0425925307259025
"gene:UTI89_P028","gene:UTI89_P028",2799.31262514162,1.64693520500169,0.471711443152897,3.49140396932849,0.000480489158217406,0.0236409906019084
"gene:UTI89_C1576","gene:UTI89_C1576",221.431043001027,-1.35610346760143,0.309275369263208,-4.38477681178459,1.16104756776655e-05,0.00121364244199958
"gene:UTI89_C1122","gene:UTI89_C1122",1124.48011716671,1.82935632641574,0.485837252702206,3.76536858020033,0.000166303577558463,0.00978132650996156
"gene:UTI89_C1335","gene:UTI89_C1335",6.67072606863279,1.6659955082639,0.496182278256303,3.35762799533789,0.000786143367144278,0.0355990761918342
"gene:UTI89_P010","gene:UTI89_P010",8557.73239712828,2.23248970603277,0.48784947208966,4.57618555262568,4.73530582395938e-06,0.000673071108366671
"gene:UTI89_C4038","gene:UTI89_C4038",439.882554312436,1.90967287064588,0.480146621442741,3.97727024488418,6.9710924280414e-05,0.00532404178422207
"gene:UTI89_C1229","gene:UTI89_C1229",408.036450815995,1.73216335258569,0.44703901105222,3.87474763893335,0.000106735253190648,0.00700210628944286
"gene:UTI89_C0600","gene:UTI89_C0600",597.585800385185,1.19539498712298,0.394585148586452,3.02949817398176,0.00244960384559215,0.0798383622795861
"gene:UTI89_C2148","gene:UTI89_C2148",93.4302209801345,1.97031031190209,0.460419301011397,4.27938252713111,1.87412522024701e-05,0.00187360303491555
"gene:UTI89_C3127","gene:UTI89_C3127",4455.98472514614,-1.30728022228556,0.442840225634558,-2.95203585088124,0.00315686276153715,0.097813158835335
"gene:UTI89_P029","gene:UTI89_P029",4340.53377029569,1.53820763517002,0.49139936708863,3.13025969952579,0.00174651825740952,0.0609948879909608
"gene:UTI89_C1077","gene:UTI89_C1077",2128.60770120457,-1.33178731577923,0.35510166741345,-3.75043948816102,0.000176524902404525,0.0102409603121953
"gene:UTI89_P012","gene:UTI89_P012",2113.49441423317,2.7054699201432,0.489785252903209,5.52378803589223,3.31767683086593e-08,1.40458571834393e-05
"gene:UTI89_C0599","gene:UTI89_C0599",217.507152984902,2.21838112091894,0.489806694637701,4.52909514142068,5.92368226753562e-06,0.000757787054074494
"gene:UTI89_C1577","gene:UTI89_C1577",297.84236111933,-0.850512641377825,0.274900158340517,-3.09389651323627,0.00197546380146829,0.0669433660404849
"gene:UTI89_P011","gene:UTI89_P011",5020.33694851174,2.46154882764402,0.462940087928283,5.31720819136613,1.05371480520583e-07,2.99547703235457e-05
"gene:UTI89_C3899","gene:UTI89_C3899",1020.74156412003,-0.732485300470874,0.217190859203223,-3.37254202666742,0.000744777192598091,0.0340270079868253
"gene:UTI89_C0584","gene:UTI89_C0584",3619.59112225709,2.55563371648758,0.503035598655879,5.08042318141357,3.7659499971862e-07,8.81917101272901e-05
"gene:UTI89_C1555","gene:UTI89_C1555",592.628042549808,-1.64874777986892,0.267872339307059,-6.15497585205683,7.50889359539607e-10,5.48900121823452e-07
"gene:UTI89_C0585","gene:UTI89_C0585",209.340963779066,1.50851167596529,0.498375913984053,3.02685509800452,0.00247112384734632,0.0800300046004501
