"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C1761","gene:UTI89_C1761",1036.94345027269,-0.494371880234084,0.150554198315113,-3.28368046701265,0.00102461020541381,0.0935507116692544
"gene:UTI89_C0230","gene:UTI89_C0230",1233.27744594563,0.864210132550117,0.256420505596272,3.37028480050965,0.00075090531630899,0.0799821434057119
"gene:UTI89_C4782","gene:UTI89_C4782",118.842458642499,1.01285377158382,0.28806041452706,3.51611578858114,0.000437909960353294,0.074733760369725
"gene:UTI89_C1916","gene:UTI89_C1916",955.422677458405,-1.24142909737045,0.325552571536902,-3.81329839143885,0.000137124389731801,0.0511199724920154
"gene:UTI89_C0773","gene:UTI89_C0773",607.934810013268,-1.66490988679088,0.477849513341666,-3.48417198366059,0.000493662159971519,0.0785710255088796
"gene:UTI89_C1707","gene:UTI89_C1707",1711.54920391415,-1.52325078382431,0.45501064500222,-3.34772559841293,0.00081477642028526,0.0828506443073093
"gene:UTI89_C4048","gene:UTI89_C4048",2311.20520444924,-1.29600686028863,0.38361112179346,-3.37843922311098,0.00072898544393599,0.0799821434057119
"gene:UTI89_C0516","gene:UTI89_C0516",1218.94963423319,-1.8401058642288,0.454808039558486,-4.04589563987285,5.21234515637869e-05,0.0252238075746925
"gene:UTI89_C0970","gene:UTI89_C0970",466.305877945946,-1.54464812700861,0.44789573076061,-3.44867794204135,0.000563338159336243,0.0794511484175206
"gene:UTI89_C0874","gene:UTI89_C0874",1593.09823568304,-1.55028381533988,0.453937015502468,-3.41519585844713,0.000637361638874812,0.0799821434057119
"gene:UTI89_C3157","gene:UTI89_C3157",677.099189170109,-1.13563166069049,0.287138442080296,-3.95499694315719,7.65356303419209e-05,0.031702758879409
"gene:UTI89_C4039","gene:UTI89_C4039",748.863928012105,-1.58724055003449,0.383778290987847,-4.13582682321329,3.53678848660297e-05,0.0252238075746925
"gene:UTI89_C1068","gene:UTI89_C1068",437.56105030254,-1.48255141861222,0.461200406736797,-3.21454924357492,0.00130649503396469,0.0994002752371503
"gene:UTI89_C0710","gene:UTI89_C0710",1388.89898048742,-0.713994311303523,0.220128929790763,-3.2435278360831,0.00118059274123753,0.0956793421594241
"gene:UTI89_C3903","gene:UTI89_C3903",3283.99825771985,1.28997741774525,0.347942630884871,3.7074428461515,0.000209362647102882,0.0559760574812176
"gene:UTI89_C3483","gene:UTI89_C3483",2999.64210685105,0.728405037978917,0.226063442492561,3.22212662935488,0.00127242885636518,0.0994002752371503
"gene:UTI89_C0522","gene:UTI89_C0522",614.961661192324,0.616271940855734,0.1789957708049,3.44294135042694,0.00057542408993376,0.0794511484175206
"gene:UTI89_C1872","gene:UTI89_C1872",568.514059371941,-1.22719691276321,0.354885325838425,-3.45800973839629,0.000544181713409519,0.0794511484175206
"gene:UTI89_C4041","gene:UTI89_C4041",2980.36029217212,-2.10825536514876,0.417304584606936,-5.05207812929865,4.37028853292256e-07,0.00162924356507353
"gene:UTI89_C0775","gene:UTI89_C0775",161.539821600155,-1.62933991992655,0.498466633900691,-3.26870407990269,0.00108041231915084,0.0935507116692544
"gene:UTI89_C2088","gene:UTI89_C2088",848.032368208369,1.62088695819019,0.495603226866258,3.27053350406776,0.00107344825656686,0.0935507116692544
"gene:UTI89_C1125","gene:UTI89_C1125",1239.79451265155,1.01647972634664,0.229102203470634,4.43679594062452,9.13077748870721e-06,0.0113465128259668
"gene:UTI89_C3511","gene:UTI89_C3511",891.576114253543,-1.49718041370582,0.426033310055453,-3.51423322629619,0.000441025409907175,0.074733760369725
"gene:UTI89_C1706","gene:UTI89_C1706",1830.24993305071,-1.69974618088591,0.471482714534586,-3.60510815876627,0.000312022951504345,0.0679662405698578
"gene:UTI89_C0924","gene:UTI89_C0924",135.60009800893,-0.934205366469614,0.248343630303345,-3.76174482642663,0.000168732146187628,0.0524194534156231
"gene:UTI89_C3047","gene:UTI89_C3047",158.456945166618,1.15007563243228,0.343800540735682,3.34518273290462,0.000822283755195935,0.0828506443073093
"gene:UTI89_C4024","gene:UTI89_C4024",508.297580130596,-1.40457205356933,0.415505376744956,-3.38039441167444,0.000723818800629246,0.0799821434057119
"gene:UTI89_C4783","gene:UTI89_C4783",91.2265217824352,0.943873043476381,0.279132981714696,3.3814457814273,0.000721054609929464,0.0799821434057119
"gene:UTI89_C4728","gene:UTI89_C4728",1601.37107795025,-1.75501094302922,0.475638137701782,-3.68980282260206,0.000224427934772468,0.0559760574812176
"gene:UTI89_C4040","gene:UTI89_C4040",2898.47817745666,-1.86935490880053,0.417659402370057,-4.47578792239,7.61300262608121e-06,0.0113465128259668
"gene:UTI89_C0362","gene:UTI89_C0362",766.959558077726,-1.44563202355861,0.409646889424569,-3.52897107454982,0.000417178726353001,0.074733760369725
"gene:UTI89_C4461","gene:UTI89_C4461",669.578388948009,0.706477472734952,0.208175242560035,3.39366710492106,0.000689634691281274,0.0799821434057119
"gene:UTI89_C1874","gene:UTI89_C1874",414.308821491717,-1.36321475216006,0.391992613820771,-3.47765418045188,0.000505822052632272,0.0785710255088796
"gene:UTI89_C0581","gene:UTI89_C0581",763.483538704728,-1.41716148235313,0.419594055369921,-3.37745843683067,0.000731590083994883,0.0799821434057119
"gene:UTI89_C0288","gene:UTI89_C0288",3349.43796588002,-0.912248185698139,0.223351902684339,-4.08435376969861,4.41996498033816e-05,0.0252238075746925
"gene:UTI89_C1489","gene:UTI89_C1489",165.304005958122,-1.14867300941962,0.319641525370162,-3.59362885685581,0.000326104260572003,0.0679662405698578
"gene:UTI89_C1207","gene:UTI89_C1207",3544.73164335258,1.70804712423061,0.503789133193558,3.39040088737755,0.000697904851494243,0.0799821434057119
"gene:UTI89_C4047","gene:UTI89_C4047",661.56949062626,-1.23863481335903,0.373101866550656,-3.31983011720169,0.000900722415116344,0.0883656095672034
"gene:UTI89_C1917","gene:UTI89_C1917",262.895166188358,-1.12377048175814,0.344445236696014,-3.26255195902132,0.00110413930081738,0.0935507116692544
"gene:EBG00001165729","gene:EBG00001165729",172.305233242283,-1.41727202081052,0.401643611213125,-3.52868060450356,0.000417636858889727,0.074733760369725
"gene:UTI89_C4049","gene:UTI89_C4049",1300.32821204892,-1.55938498558465,0.434128502124557,-3.59198941777208,0.000328163178717125,0.0679662405698578
"gene:UTI89_C2744","gene:UTI89_C2744",1674.47408198863,0.402030404648884,0.123594394564573,3.25282069680627,0.00114265574842097,0.0946626806691859
"gene:UTI89_C2355","gene:UTI89_C2355",1030.27276774907,-1.65575759515694,0.436942625792597,-3.78941649868437,0.00015100155730121,0.0511758005108102
"gene:UTI89_C2089","gene:UTI89_C2089",2175.86666791858,1.61629162578893,0.492666238449215,3.28070303919463,0.00103548704764926,0.0935507116692544
"gene:UTI89_C4057","gene:UTI89_C4057",1728.55590445172,1.62534925117594,0.505390838736341,3.21602436490518,0.00129979796206864,0.0994002752371503
"gene:UTI89_C1565","gene:UTI89_C1565",163.952097189014,-1.19597196499248,0.296249241617807,-4.03704650334739,5.41283424349623e-05,0.0252238075746925
"gene:UTI89_C2371","gene:UTI89_C2371",1403.51483779438,-1.65711709346018,0.399955337507208,-4.1432553539314,3.42410317393564e-05,0.0252238075746925
"gene:UTI89_C4781","gene:UTI89_C4781",136.03434831359,1.12849110311363,0.344545684411175,3.27530180806708,0.00105549145749898,0.0935507116692544
"gene:UTI89_C4136","gene:UTI89_C4136",80.5006535546448,-1.67640140068289,0.454444771462322,-3.68890018315875,0.000225225553170135,0.0559760574812176
