"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C0094","gene:UTI89_C0094",2893.00054352432,-0.39135562560644,0.147728135896266,-2.64916106354478,0.00806918654811561,0.0655982279134455
"gene:UTI89_C5046","gene:UTI89_C5046",284.910745655731,-0.860360541703718,0.284877529961197,-3.02010671680882,0.00252685635680231,0.030795956322711
"gene:UTI89_C1761","gene:UTI89_C1761",1193.23634439674,-0.954855106222817,0.178375464128845,-5.35306305094237,8.64776990821117e-08,1.11988620311335e-05
"gene:UTI89_C0607","gene:UTI89_C0607",627.354540814334,-0.679113480427552,0.2162520230651,-3.14037977912055,0.00168728944009479,0.0229605838325022
"gene:UTI89_C1772","gene:UTI89_C1772",644.594521787985,-0.865919298108728,0.306414548705933,-2.82597318490824,0.0047137209875023,0.0454827862343114
"gene:UTI89_C4532","gene:UTI89_C4532",3026.85563436969,-1.05093196170614,0.391282533510334,-2.68586474401976,0.007234236711141,0.0613787566474567
"gene:UTI89_C2680","gene:UTI89_C2680",97.7520166526367,-0.673652837116585,0.247470639111872,-2.72215257346975,0.00648581906374176,0.0565899212990659
"gene:UTI89_P141","gene:UTI89_P141",2853.21001533261,-1.05579015293971,0.278495193353854,-3.79105341182039,0.000150009686930934,0.00396880467412433
"gene:UTI89_C0817","gene:UTI89_C0817",261.755045757603,0.702901093885948,0.274836144723325,2.55752784843329,0.0105419116725478,0.0783214470605744
"gene:UTI89_C2644","gene:UTI89_C2644",196.090624416897,-0.671462477014654,0.257272717979423,-2.60992491659516,0.00905620972345136,0.0700717107690316
"gene:UTI89_C0820","gene:UTI89_C0820",1026.84435701645,1.22560049204265,0.41196684916311,2.97499785366806,0.002929905978255,0.0343287317118878
"gene:UTI89_C0963","gene:UTI89_C0963",375.878260904216,0.603114004798435,0.190316576773977,3.16900406166249,0.00152962257539853,0.0215681166003901
"gene:UTI89_C2726","gene:UTI89_C2726",1917.07728384175,1.0268084596708,0.253460826090119,4.05115250159294,5.09659749653447e-05,0.00181066841086679
"gene:UTI89_C0964","gene:UTI89_C0964",553.850044039403,0.445349496681839,0.181601739768572,2.45234157585373,0.0141929861871547,0.0932492456969133
"gene:UTI89_C5089","gene:UTI89_C5089",96.6570595248469,-0.649763379372213,0.244787176480619,-2.65440121788266,0.00794492977565215,0.0651329201172854
