Strain	Time_point	Sample_number	Batch
WT	0m	3369-KRG-1	1
WT	15m	3369-KRG-2	1
WT	60m	3369-KRG-3	1
WT	0m	3369-KRG-76	3
WT	15m	3369-KRG-77	3
WT	60m	3369-KRG-78	3
dpmrA	0m	3369-KRG-10	1
dpmrA	15m	3369-KRG-11	1
dpmrA	60m	3369-KRG-12	1
dpmrA	0m	3369-KRG-85	3
dpmrA	15m	3369-KRG-86	3
dpmrA	60m	3369-KRG-87	3
dpmrB	0m	3369-KRG-19	1
dpmrB	15m	3369-KRG-24	1
dpmrB	60m	3369-KRG-25	1
dpmrB	0m	3369-KRG-94	3
dpmrB	15m	3369-KRG-95	3
dpmrB	60m	3369-KRG-96	3
dqseB	60m	3369-KRG-45	1
dqseB	0m	3369-KRG-46	1
dqseB	15m	3369-KRG-47	1
dqseB	0m	3369-KRG-88	3
dqseB	15m	3369-KRG-89	3
dqseB	60m	3369-KRG-90	3
dqseBdpmrA	0m	3369-KRG-48	1
dqseBdpmrA	15m	3369-KRG-49	1
dqseBdpmrA	60m	3369-KRG-50	1
dqseBdpmrA	0m	3369-KRG-91	3
dqseBdpmrA	15m	3369-KRG-92	3
dqseBdpmrA	60m	3369-KRG-93	3
dqseC	0m	3369-KRG-4	1
dqseC	15m	3369-KRG-5	1
dqseC	60m	3369-KRG-6	1
dqseC	0m	3369-KRG-79	3
dqseC	15m	3369-KRG-80	3
dqseC	60m	3369-KRG-81	3
dqseCdpmrA	0m	3369-KRG-51	1
dqseCdpmrA	15m	3369-KRG-52	1
dqseCdpmrA	60m	3369-KRG-53	1
dqseCdpmrA	0m	3369-KRG-82	3
dqseCdpmrA	15m	3369-KRG-83	3
dqseCdpmrA	60m	3369-KRG-84	3
