Strain	Time_point	Sample_number	Batch		
WT	0m	3369-KRG-1	1		/data/strickt2/3369/clean_bams/3369-KRG-1/refseq_only/abundances.cxb
WT	15m	3369-KRG-2	1		/data/strickt2/3369/clean_bams/3369-KRG-2/refseq_only/abundances.cxb
WT	60m	3369-KRG-3	1		/data/strickt2/3369/clean_bams/3369-KRG-3/refseq_only/abundances.cxb
WT	0m	3369-KRG-54	2		/data/strickt2/3369/clean_bams/3369-KRG-54/refseq_only/abundances.cxb
WT	15m	3369-KRG-55	2		/data/strickt2/3369/clean_bams/3369-KRG-55/refseq_only/abundances.cxb
WT	60m	3369-KRG-56	2		/data/strickt2/3369/clean_bams/3369-KRG-56/refseq_only/abundances.cxb
dpmrA	0m	3369-KRG-10	1		/data/strickt2/3369/clean_bams/3369-KRG-10/refseq_only/abundances.cxb
dpmrA	15m	3369-KRG-11	1		/data/strickt2/3369/clean_bams/3369-KRG-11/refseq_only/abundances.cxb
dpmrA	60m	3369-KRG-12	1		/data/strickt2/3369/clean_bams/3369-KRG-12/refseq_only/abundances.cxb
dpmrA	0m	3369-KRG-63	2		/data/strickt2/3369/clean_bams/3369-KRG-63/refseq_only/abundances.cxb
dpmrA	15m	3369-KRG-64	2		/data/strickt2/3369/clean_bams/3369-KRG-64/refseq_only/abundances.cxb
dpmrA	60m	3369-KRG-65	2		/data/strickt2/3369/clean_bams/3369-KRG-65/refseq_only/abundances.cxb
dpmrB	0m	3369-KRG-19	1		/data/strickt2/3369/clean_bams/3369-KRG-19/refseq_only/abundances.cxb
dpmrB	15m	3369-KRG-24	1		/data/strickt2/3369/clean_bams/3369-KRG-24/refseq_only/abundances.cxb
dpmrB	60m	3369-KRG-25	1		/data/strickt2/3369/clean_bams/3369-KRG-25/refseq_only/abundances.cxb
dpmrB	0m	3369-KRG-72	2		/data/strickt2/3369/clean_bams/3369-KRG-72/refseq_only/abundances.cxb
dpmrB	15m	3369-KRG-73	2		/data/strickt2/3369/clean_bams/3369-KRG-73/refseq_only/abundances.cxb
dpmrB	60m	3369-KRG-74	2		/data/strickt2/3369/clean_bams/3369-KRG-74/refseq_only/abundances.cxb
dqseB	60m	3369-KRG-45	1		/data/strickt2/3369/clean_bams/3369-KRG-45/refseq_only/abundances.cxb
dqseB	0m	3369-KRG-46	1		/data/strickt2/3369/clean_bams/3369-KRG-46/refseq_only/abundances.cxb
dqseB	15m	3369-KRG-47	1		/data/strickt2/3369/clean_bams/3369-KRG-47/refseq_only/abundances.cxb
dqseB	15m	3369-KRG-67	2		/data/strickt2/3369/clean_bams/3369-KRG-67/refseq_only/abundances.cxb
dqseB	60m	3369-KRG-68	2		/data/strickt2/3369/clean_bams/3369-KRG-68/refseq_only/abundances.cxb
dqseB	0m	3369-KRG-75	2		/data/strickt2/3369/clean_bams/3369-KRG-75/refseq_only/abundances.cxb
dqseC	0m	3369-KRG-4	1		/data/strickt2/3369/clean_bams/3369-KRG-4/refseq_only/abundances.cxb
dqseC	15m	3369-KRG-5	1		/data/strickt2/3369/clean_bams/3369-KRG-5/refseq_only/abundances.cxb
dqseC	0m	3369-KRG-57	2		/data/strickt2/3369/clean_bams/3369-KRG-57/refseq_only/abundances.cxb
dqseC	15m	3369-KRG-58	2		/data/strickt2/3369/clean_bams/3369-KRG-58/refseq_only/abundances.cxb
dqseC	60m	3369-KRG-59	2		/data/strickt2/3369/clean_bams/3369-KRG-59/refseq_only/abundances.cxb
dqseC	60m	3369-KRG-6	1		/data/strickt2/3369/clean_bams/3369-KRG-6/refseq_only/abundances.cxb
dqseCdpmrA	0m	3369-KRG-51	1		/data/strickt2/3369/clean_bams/3369-KRG-51/refseq_only/abundances.cxb
dqseCdpmrA	15m	3369-KRG-52	1		/data/strickt2/3369/clean_bams/3369-KRG-52/refseq_only/abundances.cxb
dqseCdpmrA	60m	3369-KRG-53	1		/data/strickt2/3369/clean_bams/3369-KRG-53/refseq_only/abundances.cxb
dqseCdpmrA	0m	3369-KRG-60	2		/data/strickt2/3369/clean_bams/3369-KRG-60/refseq_only/abundances.cxb
dqseCdpmrA	15m	3369-KRG-61	2		/data/strickt2/3369/clean_bams/3369-KRG-61/refseq_only/abundances.cxb
dqseCdpmrA	60m	3369-KRG-62	2		/data/strickt2/3369/clean_bams/3369-KRG-62/refseq_only/abundances.cxb
dqseBdpmrA	0m	3369-KRG-48	1		/data/strickt2/3369/clean_bams/3369-KRG-48/refseq_only/abundances.cxb
dqseBdpmrA	15m	3369-KRG-49	1		/data/strickt2/3369/clean_bams/3369-KRG-49/refseq_only/abundances.cxb
dqseBdpmrA	60m	3369-KRG-50	1		/data/strickt2/3369/clean_bams/3369-KRG-50/refseq_only/abundances.cxb
dqseBdpmrA	0m	3369-KRG-69	2		/data/strickt2/3369/clean_bams/3369-KRG-69/refseq_only/abundances.cxb
dqseBdpmrA	15m	3369-KRG-70	2		/data/strickt2/3369/clean_bams/3369-KRG-70/refseq_only/abundances.cxb
dqseBdpmrA	60m	3369-KRG-71	2		/data/strickt2/3369/clean_bams/3369-KRG-71/refseq_only/abundances.cxb
